time	V(1)	V(2)	I(L1)
5.103036402969432e-002	1.154404e+000	-1.034714e+000	1.634716e-003
5.103494540493236e-002	1.176707e+000	-4.371415e-001	1.013888e-003
5.103936746656501e-002	1.169782e+000	2.370638e-001	4.029032e-004
5.104236406602476e-002	1.156878e+000	7.622657e-001	-7.990351e-006
5.104460149557494e-002	1.144237e+000	1.188060e+000	-3.111964e-004
5.104662603617500e-002	1.131600e+000	1.577200e+000	-5.822927e-004
5.104867836749798e-002	1.117752e+000	1.957018e+000	-8.537709e-004
5.105088301729539e-002	1.100852e+000	2.336941e+000	-1.140234e-003
5.105529231689023e-002	1.058110e+000	3.008623e+000	-1.692939e-003
5.106310145613994e-002	9.576100e-001	4.002446e+000	-2.614897e-003
5.106952023017113e-002	8.470776e-001	4.630860e+000	-3.301519e-003
5.107557278623336e-002	7.115743e-001	5.028262e+000	-3.852790e-003
5.108273877065065e-002	5.131861e-001	5.250689e+000	-4.340914e-003
5.109338456705184e-002	1.702047e-001	5.190246e+000	-4.743764e-003
5.110327982548076e-002	-1.733420e-001	4.771986e+000	-4.753074e-003
5.111281539815399e-002	-4.968596e-001	4.059781e+000	-4.377891e-003
5.112266052802827e-002	-7.779828e-001	3.110531e+000	-3.624822e-003
5.113416802054007e-002	-1.009189e+000	1.886199e+000	-2.422922e-003
5.114154817630334e-002	-1.086149e+000	1.075699e+000	-1.529887e-003
5.114660351741113e-002	-1.095341e+000	4.746628e-001	-8.828042e-004
5.115084381697109e-002	-1.079977e+000	-1.146049e-001	-3.399824e-004
5.115499185134483e-002	-1.053437e+000	-7.812516e-001	1.822825e-004
5.115727286830816e-002	-1.036140e+000	-1.180378e+000	4.635608e-004
5.115955448257122e-002	-1.017736e+000	-1.584631e+000	7.392350e-004
5.116180220086058e-002	-9.989052e-001	-1.964951e+000	1.005816e-003
5.116418197481280e-002	-9.773126e-001	-2.335602e+000	1.280785e-003
5.116894152271723e-002	-9.276283e-001	-2.992270e+000	1.809065e-003
5.117487610965305e-002	-8.512169e-001	-3.673699e+000	2.424077e-003
5.118225796431926e-002	-7.263727e-001	-4.289579e+000	3.090866e-003
5.119289666295662e-002	-4.932576e-001	-4.790013e+000	3.833818e-003
5.120360758840798e-002	-2.085333e-001	-4.893984e+000	4.293023e-003
5.121237279681242e-002	5.146230e-002	-4.668902e+000	4.389011e-003
5.122106177392483e-002	3.121229e-001	-4.195149e+000	4.200900e-003
5.123013296903373e-002	5.562835e-001	-3.510515e+000	3.721519e-003
5.124119664201412e-002	7.784375e-001	-2.543453e+000	2.832924e-003
5.125306047696646e-002	9.081928e-001	-1.470815e+000	1.660899e-003
5.126054259554022e-002	9.183231e-001	-7.817982e-001	8.617168e-004
5.126639950280323e-002	8.827865e-001	-1.890113e-001	2.379584e-004
5.127073866489732e-002	8.397144e-001	3.247282e-001	-2.034630e-004
5.127502160208695e-002	7.908058e-001	9.009596e-001	-6.163812e-004
5.127790980654617e-002	7.574819e-001	1.309425e+000	-8.808752e-004
5.128072950029292e-002	7.257971e-001	1.696873e+000	-1.126989e-003
5.128352012555280e-002	6.950957e-001	2.047153e+000	-1.358998e-003
5.128771740528899e-002	6.484527e-001	2.505810e+000	-1.685683e-003
5.129416376555603e-002	5.729280e-001	3.089657e+000	-2.144333e-003
5.130046949688848e-002	4.913861e-001	3.527210e+000	-2.537510e-003
5.130753017009467e-002	3.877938e-001	3.857812e+000	-2.897851e-003
5.131541097634453e-002	2.565556e-001	4.039274e+000	-3.179683e-003
5.132668334848725e-002	5.111627e-002	4.035534e+000	-3.375252e-003
5.133611623456800e-002	-1.243355e-001	3.830563e+000	-3.340502e-003
5.134627206391433e-002	-2.988699e-001	3.431216e+000	-3.082508e-003
5.135667720536315e-002	-4.376259e-001	2.916538e+000	-2.624556e-003
5.136889247449637e-002	-5.276069e-001	2.284971e+000	-1.925779e-003
5.137987502862339e-002	-5.296160e-001	1.783304e+000	-1.242185e-003
5.138899695045846e-002	-4.663432e-001	1.476069e+000	-7.005908e-004
5.139616481926313e-002	-3.753185e-001	1.338785e+000	-3.365591e-004
5.140178763713334e-002	-2.811666e-001	1.308828e+000	-1.099707e-004
5.140556969545956e-002	-2.071099e-001	1.338840e+000	-1.042397e-006
5.141084185420275e-002	-9.338742e-002	1.446478e+000	8.864915e-005
5.141573433069738e-002	1.871131e-002	1.610819e+000	1.038742e-004
5.142283851267609e-002	1.860625e-001	1.949958e+000	6.764677e-006
5.143007809007887e-002	3.491241e-001	2.395788e+000	-2.394603e-004
5.144117814655352e-002	5.624235e-001	3.201303e+000	-8.587526e-004
5.145174987138418e-002	6.926894e-001	3.995214e+000	-1.643430e-003
5.146524220199199e-002	7.223095e-001	4.886083e+000	-2.776471e-003
5.147786645810182e-002	5.973443e-001	5.410281e+000	-3.746491e-003
5.149228492926557e-002	2.937304e-001	5.521062e+000	-4.536183e-003
5.150241761340421e-002	4.643111e-003	5.242215e+000	-4.766935e-003
5.151039380866897e-002	-2.502948e-001	4.772004e+000	-4.665114e-003
5.151869628727855e-002	-5.074049e-001	4.090181e+000	-4.279890e-003
5.152874710186450e-002	-7.681792e-001	3.112550e+000	-3.502828e-003
5.153995452301112e-002	-9.689629e-001	1.951739e+000	-2.364037e-003
5.154777487686640e-002	-1.037521e+000	1.138666e+000	-1.454627e-003
5.155225537247847e-002	-1.039962e+000	6.534485e-001	-9.087780e-004
5.155643243211354e-002	-1.019439e+000	1.431895e-001	-4.024329e-004
5.156034858498557e-002	-9.887658e-001	-4.069378e-001	6.137210e-005
5.156329820480311e-002	-9.613599e-001	-8.702888e-001	4.007620e-004
